sku,title,matched_alt,reason,needed_source,category
MW1K3,"Apple MacBook Air 15 Starlight (M4 16GB, 512GB) (US)",Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB сияющая звезда,"размер 15"" vs 13""","Apple MacBook Air 15 Starlight (M4 16GB, 512GB)",rejected
MDVE4,"Apple MacBook Air 15 Starlight (M5, 16GB, 1TB) (US)",Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB сияющая звезда,"размер 15"" vs 13""","Apple MacBook Air 15 Starlight (M5, 16GB, 1TB)",rejected
MDVD4,"Apple MacBook Air 15 Starlight (M5, 16GB, 512GB) (US)",Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB сияющая звезда,"размер 15"" vs 13""","Apple MacBook Air 15 Starlight (M5, 16GB, 512GB)",rejected
MJLW4,"Apple MacBook Pro 14 Black M5 Pro 15/16 24GB, 2TB (US)",Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 8192GB Standart Glass темно-серый,"размер 14"" vs 16""","Apple MacBook Pro 14 Black M5 Pro 15/16 24GB, 2TB",rejected
MDE04,Apple MacBook Pro 14 M5 16/512 (2025) Black (US-IN),Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 8192GB Standart Glass темно-серый,"размер 14"" vs 16""",Apple MacBook Pro 14 M5 16/512 (2025) Black,rejected
MDE44,Apple MacBook Pro 14 M5 16/512 (2025) Silver (US-IN),Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 4096GB Standart Glass серебристый,"размер 14"" vs 16""",Apple MacBook Pro 14 M5 16/512 (2025) Silver,rejected
MGDQ4,Apple MacBook Pro 14 M5 Max 18/32 36GB 2TB Silver (IN),Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 4096GB Standart Glass серебристый,"размер 14"" vs 16""",Apple MacBook Pro 14 M5 Max 18/32 36GB 2TB Silver,rejected
MGDU4,Apple MacBook Pro 14 M5 Max 18/32 36GB 2TB Space Black (US-IN),Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 8192GB Standart Glass темно-серый,"размер 14"" vs 16""",Apple MacBook Pro 14 M5 Max 18/32 36GB 2TB Space Black,rejected
MGDN4,Apple MacBook Pro 14 M5 Pro 15/16 24GB 1TB Silver (US),Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 4096GB Standart Glass серебристый,"размер 14"" vs 16""",Apple MacBook Pro 14 M5 Pro 15/16 24GB 1TB Silver,rejected
MGDR4,Apple MacBook Pro 14 M5 Pro 15/16 24GB 1TB Space Black (US-IN),Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 8192GB Standart Glass темно-серый,"размер 14"" vs 16""",Apple MacBook Pro 14 M5 Pro 15/16 24GB 1TB Space Black,rejected
MGDP4,Apple MacBook Pro 14 M5 Pro 18/20 24GB 2TB Silver (US-IN),Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 4096GB Standart Glass серебристый,"размер 14"" vs 16""",Apple MacBook Pro 14 M5 Pro 18/20 24GB 2TB Silver,rejected
MGDT4,Apple MacBook Pro 14 M5 Pro 18/20 24GB 2TB Space Black (US-IN),Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 8192GB Standart Glass темно-серый,"размер 14"" vs 16""",Apple MacBook Pro 14 M5 Pro 18/20 24GB 2TB Space Black,rejected
MJLV4,"Apple MacBook Pro 14 Silver M5 Pro 15/16 24GB, 2TB (US)",Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 4096GB Standart Glass серебристый,"размер 14"" vs 16""","Apple MacBook Pro 14 Silver M5 Pro 15/16 24GB, 2TB",rejected
MJ3D4,"Apple MacBook Pro 14 Space Black (M5, 32GB, 1TB) (US-IN)",Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 8192GB Standart Glass темно-серый,"размер 14"" vs 16""","Apple MacBook Pro 14 Space Black (M5, 32GB, 1TB)",rejected
MDE54,Apple MacBook Pro 14 М5 10/10 16/1TB Silver (US-IN),Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 4096GB Standart Glass серебристый,"размер 14"" vs 16""",Apple MacBook Pro 14 М5 10/10 16/1TB Silver,rejected
MDE14,Apple MacBook Pro 14 М5 10/10 16/1TB Space Black (US-IN),Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 8192GB Standart Glass темно-серый,"размер 14"" vs 16""",Apple MacBook Pro 14 М5 10/10 16/1TB Space Black,rejected
MDE64,Apple MacBook Pro 14 М5 10/10 24/1TB Silver (US-IN),Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 4096GB Standart Glass серебристый,"размер 14"" vs 16""",Apple MacBook Pro 14 М5 10/10 24/1TB Silver,rejected
MDE34,Apple MacBook Pro 14 М5 10/10 24/1TB Space Black (US-IN),Apple MacBook Pro 16.2&quot; M5 Max 2026 Русская раскладка 18 CPU/40 GPU 128GB 8192GB Standart Glass темно-серый,"размер 14"" vs 16""",Apple MacBook Pro 14 М5 10/10 24/1TB Space Black,rejected
APL-IP17-256-SAGE-IN,"Apple iPhone 17 256 ГБ Sage (IN, SIM+eSIM)",Apple iPhone 17 256GB nano SIM+eSIM черный,цвет ['sage'] vs ['black'],"Apple iPhone 17 256 ГБ Sage (IN, SIM+eSIM)",rejected
APL-IP17-512-SAGE-IN,"Apple iPhone 17 512 ГБ Sage (IN, SIM+eSIM)",Apple iPhone 17 256GB nano SIM+eSIM черный,цвет ['sage'] vs ['black'],"Apple iPhone 17 512 ГБ Sage (IN, SIM+eSIM)",rejected
APL-IPAIR-512-BLU-JP,"Apple iPhone Air 512 ГБ Bluе (JP, eSIM)",Apple iPhone Air 256GB eSim золотистый,цвет [] vs ['gold'],"Apple iPhone Air 512 ГБ Bluе (JP, eSIM)",rejected
APL-APL-AW-SE-40-MID-2025-S-M,Apple Watch SE 40 Midnight (2025) S/M (US),Apple Watch SE 3 44мм M/L без e-sim полуночный/полуночный,размер корпуса 40мм vs 44мм,Apple Watch SE 40 Midnight (2025) S/M,rejected
APL-APL-AW-SE-44-STL-2025-S-M,Apple Watch SE 44 Starlight (2025) S/M (US),Apple Watch SE 3 40мм S/M без e-sim звездный свет/звездный свет,размер корпуса 44мм vs 40мм,Apple Watch SE 44 Starlight (2025) S/M,rejected
APL-APL-AW-SERIES-11-46MM-ROSE-GLD-SB-S-M,Apple Watch Series 11 46mm Rose Gold SB S/M,Apple Watch Series 11 LTE Milanese Loop 46мм природный/золотистый,"цвет КОРПУСА ['gold', 'rosegold'] vs ['natural']",Apple Watch Series 11 46mm Rose Gold SB S/M,rejected
DYS-HUSHJET-PURFIER-COMPACT-SP01-WHT-SLV-GB,Dyson HushJet Purfier Compact SP01 White Silver (GB),Очиститель воздуха Dyson HushJet Purifier Compact  чёрно/бирюзовый,главный цвет ['white'] vs ['black'],Dyson HushJet Purfier Compact SP01 White Silver,rejected
DYS-CLEAN-WASH-HYGIENE-WR03-A-KR,Dyson Clean+Wash Hygiene WR03-A (KR),,нет совпадения на rocketniks,Dyson Clean+Wash Hygiene WR03-A,not_found
DYS-V12-DETECT-SLIM-ABSOLUTE-SV46-YELL-NICK-GB,Dyson V12 Detect Slim Absolute SV46 (Yell/Nick) (GB),Dyson V12 Detect Slim Absolute Вилка EU серый/золотой,"главный цвет ['yellow'] vs ['gold', 'gray']",Dyson V12 Detect Slim Absolute SV46 (Yell/Nick),rejected
DYS-V12-SV46-SUBMARINE-YELLOW-NICKEL-EU,Dyson V12 SV46 Submarine Yellow Nickel (EU),Dyson V12 Detect Slim Absolute Вилка EU серый/золотой,Submarine да vs нет,Dyson V12 SV46 Submarine Yellow Nickel,rejected
DYS-V15-SV47-DETECT-SUBMARINE-YELLOW-NICKEL-EU,Dyson V15 SV47 Detect Submarine Yellow Nickel (EU),Dyson V15 Detect Total Clean SV47  черный/серый,Submarine да vs нет,Dyson V15 SV47 Detect Submarine Yellow Nickel,rejected
DYS-V15-SV47-DETECT-SUBMARINE-YELLOW-NICKEL-GB,Dyson V15 SV47 Detect Submarine Yellow/Nickel (GB),Dyson V15 Detect Total Clean SV47  черный/серый,Submarine да vs нет,Dyson V15 SV47 Detect Submarine Yellow/Nickel,rejected
DYS-V16-PISTON-ANIMAL-SV53-MATBLK-COPP-EU,Dyson V16 Piston Animal SV53 (MatBlack/Copp) (EU),Пылесос Dyson V16 Piston Animal Submarine 492969-01 (матовый черный/медный),Submarine нет vs да,Dyson V16 Piston Animal SV53 (MatBlack/Copp),rejected
DYS-V16S-PISTON-ANIMAL-SV53A-MATBLK-COPP-KR,Dyson V16S Piston Animal SV53A (MatBlack/Copp) + подставка (KR),,нет совпадения на rocketniks,Dyson V16S Piston Animal SV53A (MatBlack/Copp) + подставка,not_found
DYS-HT01-APRICOT-TOPAZ-CASE-HK,Dyson HT01 Apricot Topaz (Case) (HK),Dyson Airstrait HT01 Вилка EU сливовая яшма,цвет источника не определён,Dyson HT01 Apricot Topaz (Case),rejected
DYS-HT01-BLU-COPPER-HK,Dyson HT01 Blue Copper (HK),Dyson Airstrait HT01 Вилка EU никель/медный,"главный цвет ['blue'] vs ['copper', 'nickel']",Dyson HT01 Blue Copper,rejected
DYS-HT01-KANZAN-PNK-CASE-HK,Dyson HT01 Kanzan Pink (Case) (HK),Dyson Airstrait HT01 Вилка EU керамический розовый/розовое золото,"главный цвет ['kanzan'] vs ['ceramicpink', 'gold', 'pink', 'rosegold']",Dyson HT01 Kanzan Pink (Case),rejected
DYS-HS05-NICKEL-COPPER-HK,Dyson HS05 Nickel Copper (HK),Dyson Airwrap Complete Long HS05 Diffuse Вилка EU  берлинская лазурь/медный,"главный цвет ['nickel'] vs ['blue', 'copper']",Dyson HS05 Nickel Copper,rejected
DYS-HS08-AMB-SLK-HK,Dyson HS08 Amber Silk (HK),Dyson Airwrap Co-anda2x HS09 Вилка EU  янтарный/шелковый,код модели HS08 vs HS09,Dyson HS08 Amber Silk,rejected
DYS-HS08-APRICOT-TOPAZ-KR,Dyson HS08 Apricot topaz (KR),Dyson Airwrap i.d. Long HS08 Curly &amp; Coily Вилка EU  синие румяна/топаз,главный цвет ['apricottopaz'] vs ['blue'],Dyson HS08 Apricot topaz,rejected
DYS-HS08-CER-APRICOT-GB,Dyson HS08 Ceramic Apricot (GB),Dyson Airwrap i.d. Long HS08 Curly &amp; Coily Вилка EU  синие румяна/топаз,главный цвет ['apricottopaz'] vs ['blue'],Dyson HS08 Ceramic Apricot,rejected
DYS-HS08-CER-PATINA-TOPAZ-IN,Dyson HS08 Ceramic Patina Topaz (IN),Dyson Airwrap i.d. Long HS08 Curly &amp; Coily Вилка EU  синие румяна/топаз,"главный цвет ['patina', 'pink'] vs ['blue']",Dyson HS08 Ceramic Patina Topaz,rejected
DYS-HS08-CER-PNK-HK,Dyson HS08 Ceramic Pink (HK),Dyson Airwrap i.d. Long HS08 Curly &amp; Coily Вилка EU  керамическая патина/топаз,оттенок ['ceramicpink'] vs ['patina'],Dyson HS08 Ceramic Pink,rejected
DYS-HS08-CER-PNK-DIFFUSE-HK,Dyson HS08 Ceramic Pink (diffuse) (HK),Dyson Airwrap i.d. Long HS08 Curly &amp; Coily Вилка EU  керамическая патина/топаз,оттенок ['ceramicpink'] vs ['patina'],Dyson HS08 Ceramic Pink (diffuse),rejected
DYS-HS08-KANZAN-PNK-HK,Dyson HS08 Kanzan Pink (HK),Dyson Airwrap i.d. Long HS08 Straight+Wavy  керамический розовый/розовое золото,"главный цвет ['kanzan'] vs ['ceramicpink', 'gold', 'pink', 'rosegold']",Dyson HS08 Kanzan Pink,rejected
DYS-HS08-RED-VEL-HK,Dyson HS08 Red/Velvet (HK),Dyson Airwrap Co-anda2x HS09 красный бархат/золотой,код модели HS08 vs HS09,Dyson HS08 Red/Velvet,rejected
DYS-HS08-VINCA-BLU-TOPAZ-HK,Dyson HS08 Vinca Blue Topaz (HK),Dyson Airwrap i.d. Long HS08 Curly &amp; Coily Вилка EU  синие румяна/топаз,главный цвет ['vinca'] vs ['blue'],Dyson HS08 Vinca Blue Topaz,rejected
DYS-HS08-VINCA-BLU-TOPAZ-ORG-DIFFUSE-HK,Dyson HS08 Vinca Blue/Topaz Orange (diffuse) (HK),Dyson Airwrap i.d. Long HS08 Curly &amp; Coily Вилка EU  синие румяна/топаз,главный цвет ['vinca'] vs ['blue'],Dyson HS08 Vinca Blue/Topaz Orange (diffuse),rejected
DYS-HD16-AMB-SLK-CASE-HK,Dyson HD16 Amber Silk (Case) (HK),Dyson Supersonic Nural HD16 синий/топаз,главный цвет ['ambersilk'] vs ['blue'],Dyson HD16 Amber Silk (Case),rejected
DYS-HD16-APRICOT-TOPAZ-CASE-KR,Dyson HD16 Apricot Topaz (Case) (KR),Dyson Supersonic Nural HD16 синий/топаз,главный цвет ['apricottopaz'] vs ['blue'],Dyson HD16 Apricot Topaz (Case),rejected
DYS-HD16-CER-PNK-CN,Dyson HD16 Ceramic Pink (CN),Dyson Supersonic Nural HD16 керамическая патина/топаз,оттенок ['ceramicpink'] vs ['patina'],Dyson HD16 Ceramic Pink,rejected
DYS-HD16-CER-PNK-CASE-HK,Dyson HD16 Ceramic Pink (Case) (HK),Dyson Supersonic Nural HD16 керамическая патина/топаз,оттенок ['ceramicpink'] vs ['patina'],Dyson HD16 Ceramic Pink (Case),rejected
DYS-HD17-JAS-PLM-EU,Dyson HD17 Jasper Plum (EU),Dyson Supersonic Nural HD16 яшмовая слива,код модели HD17 vs HD16,Dyson HD17 Jasper Plum,rejected
DYS-HD19-CER-PNK-HK,Dyson HD19 Ceramic Pink (HK),Dyson Supersonic HD15  керамический розовый/розовое золото,код модели HD19 vs HD15,Dyson HD19 Ceramic Pink,rejected
